path	n	ask	verdict	issue	fix	disposition	note
bugs/dan/0-bugs-iswanson.m2	2	kernel f is 'not implemented yet' for f = map(frac(r), r, ...) over r = QQ[a,b,c,d,x,y, MonomialOrder => Eliminate 4]	fixed			drop	met. Ran the file's example unchanged and kernel f returns an ideal with 20 generators -- a*x+d*x-y, a^2-c*d, b*c-d^2 and so on -- in under a second. The 'not implemented yet' the file records is gone, and the Eliminate 4 order the example depends on is honoured.
bugs/dan/0-bugs-iswanson.m2	3	A second kernel f, for f = map(frac S, A, {u^3/v^4, u^2/v^2, (u+v)/v^4}) with S = frac(ZZ/101[x,y])[u,v], 'gives error message'	duplicate	#3449		drop	still fails, and it is already tracked. The failure is not in kernel at all but in constructing frac S: with S = K[u,v] over K = frac(ZZ/101[x,y]), frac S raises 'not implemented yet: fraction fields of polynomial rings over rings other than ZZ, QQ, or a finite field' from m2/enginering.m2:350, before any map is built. That is #3449, open, whose body reports the identical error from the identical shape -- R = frac(QQ[x,y])[z] then 1/x_R -- so this is recorded as a duplicate rather than filed. Worth noting the error is honest and specific, naming exactly which coefficient rings are supported, rather than a wrong answer. Curiously the same issue shows x_R^-1 succeeding where 1/x_R fails, so the boundary is narrower than the message implies.
bugs/dan/0-bugs-iswanson.m2	4	RevLex seems to be the same as GRevLex	fixed			drop	met: they are now clearly distinct, and RevLex is properly constrained. ZZ[a..d, MonomialOrder=>{RevLex}] no longer builds at all, raising 'not all variables are > 1, and Global => true' from m2/monoids.m2:597, since RevLex is a local order and needs Global => false. Once built that way the two orders demonstrably differ: over QQ, leadTerm(a*b+c*d) is c*d under RevLex and a*b under GRevLex, and leadTerm(a+b+c+d) is d against a. Recording a false step of mine: the file's own example misled me, because the Groebner basis of ideal(a^2+b*d^2, b*c+a*d) is the same under both orders, so my first comparison reproduced the reported symptom and I nearly called the ask live. It took a discriminating example to see the orders apart, which is presumably how the confusion arose in 2005 too.
bugs/dan/0-bugs-iswanson.m2	5	With MonomialOrder=>{LexSmall}, a^(2^16) yields 1; the upper limit should be 2^15-1 rather than 2^16-1, and for LexTiny 2^7-1 rather than 2^8-1 (same for GRevLexTiny and GRevLexSmall)	fixed			drop	met, and met to precisely the limits the file asks for -- the closest thing to a granted wish in the parked set. The spelling changed first: LexSmall and LexTiny are no longer user-facing symbols but internal engine names, mapped at m2/engine.m2:85-88 from (Lex,8) and (Lex,16), with MonomialSize the option a user writes. Tested in that form. With MonomialSize=>16, a^(2^15-1) is a^32767 and a^(2^15) raises an error, so the cap is exactly 2^15-1 as requested rather than 2^16-1. With MonomialSize=>8, a^127 works and a^(2^7) errors, so the cap is exactly 2^7-1 as requested rather than 2^8-1. MonomialSize=>32 caps at 2^31-1, consistently signed. And the silent wraparound is gone in the other direction too: with MonomialSize=>8, (a^100)*(a^100) raises an error instead of returning a^200 truncated or 1.
bugs/dan/0-bugs-iswanson.m2	6	implement leadTerm(ZZ, ring element)	fixed			drop	met. (leadTerm, ZZ, RingElement) exists, implemented at m2/matrix.m2:563, and leadTerm(1, x^2+y*z) over QQ[x,y,z] returns x^2. The ZZ-first form is installed across the family, methods leadTerm also listing it for GroebnerBasis, Matrix, Ideal and Vector.
bugs/dan/0-bugs-iswanson.m2	7	the element u3+x/y2v3 in a Groebner basis over frac(ZZ/101[x,y])[u,v] may not be written in the clearest way	fixed			drop	met: the coefficient is parenthesised now. Re-ran the file's example and gens gb ideal(y^2*u^3 + x*v^3, u^2*v, u^4) prints as | u2v u3+(x/y2)v3 v4 uv3 |, so toString of the element in question is u^3+(x/y^2)*v^3 rather than the u3+x/y2v3 of 2005. The brackets remove exactly the ambiguity the file objects to, between x/(y^2*v^3) and (x/y^2)*v^3, and the two-dimensional net form stacks x over y^2 and multiplies by v^3, which is unambiguous as well. terms confirms the polynomial is {u^3, (x/y^2)*v^3}.
bugs/dan/0-bugs-iswanson.m2	8	GroupRevLex does not seem to be installed; then uncomment the lines in monomorderings.m2 in the manual for GroupRevLex	open	#4648		issue	inverted since 2005, and that is the filable part: GroupRevLex works, but its documentation still says it does not. The manual lines are no longer commented out -- ov_monomial_orderings.m2, the renamed monomorderings.m2, documents GroupRevLex at :608 with a headline, prose, an example and cross-references at :93, :114, :168 and :684 -- so the second half of the ask is done. But that node ends with Caveat => { "This feature has not been implemented yet."}, which is false. Its own example runs: R = QQ[a..d, MonomialOrder=>GroupRevLex=>2, Global=>false] builds with order {MonomialSize => 32, GroupRevLex => 2, GRevLex => {1, 1}, Position => Up}, a^-1 is a^(-1), a^-1*a is 1, a^-2*a^3 is a, b^-1 exists and c^-1 correctly fails, which is precisely the behaviour the node's prose promises. By contrast the sibling GroupLex node's Caveat is a genuine mathematical one, about a/b lying in the fraction ring while a*b^(-1) lies in R, so the two are not simply boilerplate. One real limitation found: gb over such a ring fails, so if a caveat is warranted it concerns Groebner bases rather than the feature as a whole. Correcting my first attempt, which reported GroupRevLex as still uninstalled: I had written MonomialOrder=>{GroupRevLex=>4} without Global => false, over all four variables, and read the resulting error as the feature being absent. Searched titles, bodies and comments for GroupRevLex with no hits anywhere, so nothing tracks this.
bugs/dan/0-bugs-lgold.m2	1	The main page for poincare documented (cokernel f).cache.poincare = p as a way to inform the system of the Poincare polynomial; Mike said this ought to be changed as well as mentioned on the gb page, but it needs to be checked out or updated first, so it is currently commented out of the documentation.	fixed			drop	met on both counts, and the mechanism was cleaned up on the way. The documentation is no longer commented out: Macaulay2Doc/functions/poincare-doc.m2:99 states that calling poincare M caches the result in M.cache.poincare, and :107 carries the example PRE //// poincare M = p -- cache poincare ////. Mike's second condition, mentioning it on the gb page, is met too -- ov_groebner_bases.m2:424 refers to 'the Poincare polynomial in M.cache.poincare'. The interface was also improved rather than merely documented: the assignment is now the tidy poincare M = p, implemented through storefuns at m2/hilbert.m2:107, instead of the raw (cokernel f).cache.poincare = p the file quotes, and canUseHilbertHint is now its own documented function with gb.m2:282 consulting m.cache.cokernel.cache.poincare. Verified the hint still works: setting cache.poincare on a cokernel and then computing gens gb succeeds.
bugs/dan/0-bugs-lgold.m2	2	hilbertFunction applied to a CoherentSheaf doesn't work as desired. It needs to be fixed. At the moment the relevant page is commented out of the documentation.	wontfix			drop	resolved by deciding against it rather than by fixing it, and the mathematics explains why. There is no (hilbertFunction, ZZ, CoherentSheaf) method today -- methods hilbertFunction lists only Ring, Module and Ideal against ZZ or List -- and no commented-out sheaf page survives in hilbertFunction-doc.m2. The obstruction is real: a Hilbert function counts graded pieces of a module, and a sheaf does not determine them, since two modules with the same sheafification differ in low degrees exactly when one is unsaturated. What is well defined for a sheaf is provided: (hilbertPolynomial, CoherentSheaf) and (euler, CoherentSheaf) both exist. So 'doesn't work as desired' was a symptom of asking a module question of a sheaf, and the resolution was to offer the sheaf-invariant notions instead. See [[bugs/dan/0-bugs-lgold.m2::3]] and ::5, which are the same obstruction from two other directions.
bugs/dan/0-bugs-lgold.m2	3	Also hilbertSeries applied to a CoherentSheaf doesn't work as desired. It needs to be fixed. At the moment the relevant page is commented out of the documentation.	wontfix			drop	same resolution as ::2 and for the same reason. methods hilbertSeries lists ZZ with BettiTally, PolynomialRing, QuotientRing, Ideal, Module and ProjectiveHilbertPolynomial -- no CoherentSheaf -- and hilbertSeries-doc.m2 carries no commented-out sheaf page. A Hilbert series is a generating function for the dimensions of a module's graded pieces, so it is not a sheaf invariant; only its eventual behaviour, captured by the Hilbert polynomial, is, and (hilbertPolynomial, CoherentSheaf) exists. Verified that hilbertSeries of a sheaf raises no method found rather than returning something wrong.
bugs/dan/0-bugs-lgold.m2	4	It would be nice to have a good example of using reduceHilbert for the documentation page.	wontfix			drop	partly met, and the remainder is systemic rather than specific to this page. reduceHilbert-doc.m2 now carries two worked examples -- hilbertSeries of ideal x^2 in ZZ/101[x, Degrees => {2}] followed by reduceHilbert, and a second on M = R^{0,-1} ending in gcd(value numerator f, value denominator f) to show the reduction is partial. Verified both behave as documented: hilbertSeries of R/ideal(a^2,b^2) is (1-2T^2+T^4)/((1-T)^3) reducing to (1+2T+T^2)/((1-T)). What has not happened is the specific example the file's author had in mind, which she recorded in the page's own header and which is still sitting there: '--- notes: needs good example, maybe: dim of scheme is degree of reduced denominator', under '--- status: DRAFT'. Not filed because those markers are systemic -- 64 files under packages/ are marked status DRAFT and 180 carry a --- notes: TODO -- so singling this one out would be arbitrary, and the page is no longer example-free, which is what the ask complained of. Adjacent: #4564, filed earlier in this triage from bugs/dan/1-doc-hilbertSeries, concerns the hilbertSeries page not documenting numerator and denominator.
bugs/dan/0-bugs-lgold.m2	5	Check that the saturation is being used for hilbertSeries of a ProjectiveVariety.	wontfix			drop	moot: there is no (hilbertSeries, ProjectiveVariety) method to check. Confirmed by running it -- hilbertSeries Proj(R/I) raises 'no method found for applying hilbertSeries to ... of class ProjectiveVariety' -- and by methods hilbertSeries, which lists no variety or sheaf. This is the same obstruction as ::2 and ::3: giving a variety a Hilbert series would require saturating first, since the series depends on the module and not the scheme, which is presumably the concern behind the ask. M2's resolution was to provide only the saturation-independent invariants, (hilbertPolynomial, ProjectiveVariety) and (euler, ProjectiveVariety). Checked that this really is independent rather than quietly saturating: on I = ideal(a^2,a*b,a*c) whose saturation is ideal a, hilbertPolynomial agrees with hilbertPolynomial of the saturated variety, {1 => 1} both ways, and euler is 2 both ways -- and the module-level hilbertPolynomial agrees too, which shows the agreement is the Hilbert polynomial's insensitivity to saturation rather than a saturation step being applied.
bugs/dan/0-bugs-lgold.m2	6	Would like a better example for PoincareN where there are different steps of the resolution which have the same degree.	fixed			drop	met, and the existing example has exactly the property asked for. The function moved and was renamed: PoincareN is now poincareN in the Complexes package, implemented at Complexes/ChainComplex.m2:670 and documented at ChainComplexDoc.m2:4261 onwards, which Macaulay2Doc's hilbertSeries and hilbertPolynomial pages cross-reference as 'Complexes :: poincareN'. Its second example is C = freeResolution ideal(a*b, b*c*d, c*d*e^2) over ZZ/32003[a..f], and running it gives poincareN C = 1+S*T_0^2+S*T_0^3+S*T_0^4+S^2*T_0^4+S^2*T_0^5. T_0^4 appears with both S and S^2, so two different homological steps share an internal degree, which is precisely the case the file wanted illustrated -- and it is the case that shows why poincareN needs a separate variable for homological degree at all. The betti table confirms the overlap, columns 1 and 2 both having entries in rows 2 and 3.
bugs/dan/0-bugs-lgold.m2	7	It would be really nice if the coloration could not see the dashes in a resolution or the printout of a rational function as a comment.	fixed			drop	fixed upstream, in the M2-emacs repository rather than in M2. Macaulay2/M2-emacs#78 'Annoying comment highlighting' reported the rational-function case with a fraction bar over frac(QQ[x..y])[dx,dy], and Macaulay2/M2-emacs#96, merged, 'deregister -- as a comment delimiter, if we are in an output block' fixes both halves of this ask -- its own description calls out that arrows and fraction bars are normally coloured. The fix is present in the submodule M2/Macaulay2/editors/emacs at ae882ab04d: M2.el:190-197 defines M2-syntax-propertize-function, whose rule gives -- punctuation syntax when M2--in-output-block-p holds, and :185-188 implements that by reading the field text property comint puts on output. Verified both directions in batch emacs over real captured M2 output (a res display reading R <-- R <-- R <-- R, and hilbertSeries and reduceHilbert fraction bars): with field set to output, zero lines are fontified as comments; without it, three lines are, 18 of 22 characters on the resolution line and all of both bars. Recording a mistake of mine here, because the shape of it matters more than the outcome. I first reported this ask to Doug as a demonstrated live defect, having reproduced comment faces in a with-temp-buffer that had no comint field properties on the text -- so the output-block test could not fire and the fix looked absent. The synthetic buffer was not the real condition, and Doug pointed me at the two M2-emacs items. The underlying process error was searching only the Macaulay2/M2 tracker: the emacs mode is a separate repository, so editor asks need M2-emacs searched too. Within M2 itself nothing covers this -- #3029, closed, is the same class fixed the other way by removing comment delimiters from net(Function) output; #537, closed, is the different {- sequence in source files; #4333 is prism.js in the html docs; #3330 is package symbols there.
bugs/dan/0-bugs-lgold.m2	8	There is a problem calculating the hilbertFunction in the example for hilbertPolynomial of a Module. At the moment the relevant code is commented out. When the bug gets fixed, the comments need to be removed.	open	#4645		issue	stands, and it arrives with its own closing condition already met: the bug is gone but the comment markers remain. hilbertPolynomial-doc.m2:79-86 still holds the commented-out block in the (hilbertPolynomial, Module) node, and running it against that node's own R = QQ[a..d], M = module monomialCurveIdeal(R, {1,3,4}), h = hilbertPolynomial M raises no error: apply(5, k -> h(k)) is {0,-1,1,7,18} and apply(5, k -> hilbertFunction(k,M)) is {0,0,1,7,18}, differing only at k=1 and agreeing from k=2 out to k=11, which demonstrates the very claim the commented prose makes about the polynomial eventually agreeing with the function. The sibling node at :50-58 already runs the same two lines uncommented with a ring, giving {1,5,9,13,17} against {1,4,9,13,17}, so the comment markers are the only thing separating the two nodes on this point. Two smaller things in the same lines, noted in the issue rather than filed separately: the PARA{} before the block now has nothing after it, so the node emits an empty paragraph, and the file header still carries the author's own '--- notes: show ex of eventually = HF' describing the block. No pull request opened, since choosing between restoring and deleting the text is a content decision, though the evidence favours restoring. Searched titles and bodies for hilbertPolynomial and hilbertFunction and comments for hilbertPolynomial and 'commented out of the documentation': nothing covers it, and #4564, which this triage filed from bugs/dan/1-doc-hilbertSeries about numerator and denominator going undocumented, is the adjacent page rather than the same gap.
bugs/dan/0-bugs-lgold.m2	9	How to use Macaulay2 in emacs needs to be extremely prominent on the main Macaulay2 page, and the description must include information on how to comment and uncomment an entire section of code.	fixed			drop	met in substance. Prominence: the top node ov_top.m2 opens its Tree with ':Getting Started', whose first entry is 'setting up Macaulay2', and that node says at ov_getting_started.m2:21 that the Emacs interface is 'the recommended way to run Macaulay2', repeats the recommendation at :71-73, and links > 'using Macaulay2 with Emacs' at :77. So Emacs is two steps from the front page and explicitly recommended, which is as prominent as the ask sought. The Emacs node itself is substantial, ov_editors_emacs.m2 mentioning Emacs 99 times and walking the reader through the mode interactively. Commenting is covered at :431: 'observe how M-; will start a comment for you with two hyphens'. The one part not covered literally is commenting and uncommenting an entire *section* -- only the single comment at point is described, though M-; on an active region does the job in any modern Emacs. Too small to file, and a nit rather than the ask's substance. One stray observation while reading that node: line 425 is itself a commented-out documentation line, apparently over difficulty escaping M-C-@ inside KBD, not worth filing either.
bugs/dan/0-bugs-popescu.m2	1	There should exist a command like faceRing SimplicialComplex which returns the Stanley Reisner ring; currently this works with StanleyReisnerRing.facering but it is not exported. Fix also documentation for dim accordingly.	wontfix			drop	declined by a rewrite rather than left undone, and the documentation half needs nothing. The package the request names is gone: SimplicialComplexes is now version 2.0 and certified (JSAG 13, 2023, DOI 10.2140/jsag.2023.13.53), and it represents a complex by its Stanley-Reisner *ideal* -- ideal D and monomialIdeal D are the accessors, ring D is documented as 'the polynomial ring containing the Stanley-Reisner ideal', and there is no faceRing in its export list. Verified on S = QQ[a,b,c,d] and D = simplicialComplex {a*b*c, c*d}: ideal D is ideal(a*d, b*d), ring D is S, and D.faceRing does not exist. So the Stanley-Reisner ring is (ring D)/(ideal D), one step the user takes, and adding a convenience accessor is a design question for a certified package's maintainers rather than a defect. faceRing has zero hits over issue titles, bodies and comments. The second half asks to fix the documentation for dim 'accordingly', anticipating confusion between the complex's dimension and the face ring's Krull dimension; no fix is needed, since (dim, SimplicialComplex) is documented as 'one less than the maximum number of vertices in a face', spells out the -infinity convention for the void complex, and carries two asserted examples. One nit not worth filing: SimplicialComplexes/Code.m2:1003 emits 'expected the coefficient rings of the Stanley-Reisner rings to be equal' while testing coefficientRing ring D, where ring D is the ambient polynomial ring by the package's own documentation, so the message names the wrong ring -- and it only appears under debugLevel > 0.
bugs/dan/0-bugs-popescu.m2	2	codim AffineVariety should exist!!	fixed			drop	met. Verified directly: A = Spec(QQ[x,y]/ideal(x*y)) has class AffineVariety and codim A returns 1, which is right for a plane curve in the affine plane.
